Time_s,Front_Depth_d1_m,Middle_Depth_d2_m,Rear_Depth_d3_m,Pump_Mass_kg
144,1.6213,1.621,1.6207,1.9469e-13
145,1.634,1.6339,1.6339,0.005
146,1.6483,1.6484,1.6485,0.005
147,1.6635,1.6628,1.6621,0.005
148,1.664,1.6645,1.6651,2.0606e-13
149,1.678,1.679,1.68,0.005
150,1.6941,1.6941,1.6942,0.005
151,1.7103,1.7094,1.7084,0.005
152,1.7085,1.7089,1.7094,2.1743e-13
153,1.7253,1.7248,1.7244,0.005
154,1.7376,1.7385,1.7393,0.005
155,1.7526,1.7525,1.7524,0.005
156,1.7564,1.7559,1.7554,2.2879e-13
157,1.7687,1.7691,1.7696,0.005
158,1.7823,1.7818,1.7813,0.005
159,1.8002,1.7992,1.7983,0.005
160,1.7984,1.7989,1.7995,2.4016e-13
161,1.8149,1.8141,1.8134,0.005
162,1.828,1.8293,1.8306,0.005
163,1.843,1.8436,1.8442,0.005
164,1.846,1.8456,1.8452,2.5153e-13
165,1.8585,1.8581,1.8577,0.005
166,1.8738,1.8741,1.8744,0.005
167,1.8891,1.889,1.8888,0.005
168,1.89,1.8906,1.8913,2.629e-13
169,1.9021,1.9031,1.9042,0.005
170,1.919,1.9185,1.9181,0.005
171,1.934,1.9336,1.9332,0.005
172,1.9334,1.9344,1.9353,2.7427e-13
173,1.9476,1.9482,1.9489,0.005
174,1.9641,1.9632,1.9623,0.005
175,1.9797,1.9799,1.9802,0.005
176,1.9805,1.9802,1.9798,2.8564e-13
177,1.9946,1.994,1.9934,0.005
